날짜,요일,홈,방문,구장,관중수
2017/03/31,금,두산,한화,잠실,"21,121"
2017/04/01,토,두산,한화,잠실,"20,636"
2017/04/02,일,두산,한화,잠실,"22,457"
2017/04/04,화,LG,삼성,잠실,"16,411"
2017/04/06,목,LG,삼성,잠실,"12,166"
2017/04/07,금,두산,넥센,잠실,"10,027"
2017/04/08,토,두산,넥센,잠실,"15,278"
2017/04/09,일,두산,넥센,잠실,"13,177"
2017/04/11,화,두산,KIA,잠실,"14,895"
2017/04/12,수,두산,KIA,잠실,"13,649"
2017/04/13,목,두산,KIA,잠실,"16,213"
2017/04/14,금,LG,KT,잠실,"9,710"
2017/04/15,토,LG,KT,잠실,"17,337"
2017/04/16,일,LG,KT,잠실,"15,224"
2017/04/18,화,두산,삼성,잠실,"6,391"
2017/04/19,수,두산,삼성,잠실,"8,062"
2017/04/20,목,두산,삼성,잠실,"8,509"
2017/04/21,금,LG,KIA,잠실,"23,263"
2017/04/22,토,LG,KIA,잠실,"25,000"
2017/04/23,일,LG,KIA,잠실,"25,000"
2017/04/25,화,LG,SK,잠실,"10,004"
2017/04/26,수,LG,SK,잠실,"10,730"
2017/04/27,목,LG,SK,잠실,"11,111"
2017/04/28,금,두산,롯데,잠실,"22,131"
2017/04/29,토,두산,롯데,잠실,"25,000"
2017/04/30,일,두산,롯데,잠실,"25,000"
2017/05/02,화,LG,NC,잠실,"14,887"
2017/05/03,수,LG,NC,잠실,"20,180"
2017/05/04,목,LG,NC,잠실,"18,843"
2017/05/05,금,두산,LG,잠실,"25,000"
2017/05/06,토,두산,LG,잠실,"21,920"
2017/05/07,일,두산,LG,잠실,"21,273"
2017/05/10,수,두산,SK,잠실,"7,516"
2017/05/11,목,두산,SK,잠실,"8,531"
2017/05/12,금,LG,한화,잠실,"20,357"
2017/05/13,토,LG,한화,잠실,"22,063"
2017/05/14,일,LG,한화,잠실,"24,223"
2017/05/16,화,두산,NC,잠실,"9,078"
2017/05/17,수,두산,NC,잠실,"9,290"
2017/05/18,목,두산,NC,잠실,"10,104"
2017/05/19,금,LG,롯데,잠실,"19,653"
2017/05/20,토,LG,롯데,잠실,"23,898"
2017/05/21,일,LG,롯데,잠실,"22,054"
2017/05/24,수,LG,두산,잠실,"20,334"
2017/05/25,목,LG,두산,잠실,"20,442"
2017/05/26,금,두산,KT,잠실,"12,763"
2017/05/27,토,두산,KT,잠실,"20,177"
2017/05/28,일,두산,KT,잠실,"15,159"
2017/05/30,화,LG,넥센,잠실,"9,520"
2017/05/31,수,LG,넥센,잠실,"10,290"
2017/06/01,목,LG,넥센,잠실,"10,720"
2017/06/02,금,LG,NC,잠실,"11,227"
2017/06/03,토,LG,NC,잠실,"19,180"
2017/06/04,일,LG,NC,잠실,"14,832"
2017/06/06,화,두산,삼성,잠실,"21,253"
2017/06/07,수,두산,삼성,잠실,"9,149"
2017/06/08,목,두산,삼성,잠실,"10,260"
2017/06/09,금,LG,SK,잠실,"11,023"
2017/06/10,토,LG,SK,잠실,"18,293"
2017/06/11,일,LG,SK,잠실,"13,837"
2017/06/13,화,두산,LG,잠실,"14,565"
2017/06/14,수,두산,LG,잠실,"16,136"
2017/06/15,목,두산,LG,잠실,"16,791"
2017/06/16,금,두산,NC,잠실,"10,226"
2017/06/17,토,두산,NC,잠실,"18,215"
2017/06/18,일,두산,NC,잠실,"13,271"
2017/06/20,화,LG,삼성,잠실,"13,098"
2017/06/21,수,LG,삼성,잠실,"13,250"
2017/06/22,목,LG,삼성,잠실,"14,197"
2017/06/23,금,두산,롯데,잠실,"16,262"
2017/06/24,토,두산,롯데,잠실,"22,406"
2017/06/25,일,두산,롯데,잠실,"13,870"
2017/06/27,화,두산,SK,잠실,"8,079"
2017/06/28,수,두산,SK,잠실,"7,887"
2017/06/29,목,두산,SK,잠실,"10,129"
2017/06/30,금,LG,KIA,잠실,"24,204"
2017/07/01,토,LG,KIA,잠실,"25,000"
2017/07/02,일,LG,KIA,잠실,"19,697"
2017/07/04,화,두산,KT,잠실,"5,747"
2017/07/05,수,두산,KT,잠실,"6,148"
2017/07/08,토,LG,한화,잠실,"18,714"
2017/07/09,일,LG,한화,잠실,"22,129"
2017/07/11,화,두산,넥센,잠실,"7,015"
2017/07/12,수,두산,넥센,잠실,"6,126"
2017/07/13,목,두산,넥센,잠실,"7,739"
2017/07/18,화,LG,KT,잠실,"7,361"
2017/07/19,수,LG,KT,잠실,"7,713"
2017/07/20,목,LG,KT,잠실,"7,776"
2017/07/21,금,두산,한화,잠실,"13,564"
2017/07/22,토,두산,한화,잠실,"18,746"
2017/07/23,일,두산,한화,잠실,"11,307"
2017/07/25,화,LG,넥센,잠실,"8,130"
2017/07/26,수,LG,넥센,잠실,"8,292"
2017/07/27,목,LG,넥센,잠실,"9,443"
2017/07/28,금,두산,KIA,잠실,"23,112"
2017/07/29,토,두산,KIA,잠실,"25,000"
2017/07/30,일,두산,KIA,잠실,"25,000"
2017/08/01,화,LG,롯데,잠실,"16,971"
2017/08/02,수,LG,롯데,잠실,"15,796"
2017/08/03,목,LG,롯데,잠실,"15,429"
2017/08/04,금,LG,두산,잠실,"20,144"
2017/08/05,토,LG,두산,잠실,"22,428"
2017/08/06,일,LG,두산,잠실,"17,714"
2017/08/08,화,두산,한화,잠실,"13,985"
2017/08/09,수,두산,한화,잠실,"15,137"
2017/08/10,목,LG,SK,잠실,"7,755"
2017/08/11,금,LG,SK,잠실,"9,598"
2017/08/12,토,두산,NC,잠실,"17,047"
2017/08/13,일,두산,NC,잠실,"15,344"
2017/08/16,수,LG,KT,잠실,"7,168"
2017/08/17,목,두산,KIA,잠실,"20,103"
2017/08/18,금,두산,KIA,잠실,"22,357"
2017/08/19,토,LG,삼성,잠실,"18,337"
2017/08/22,화,LG,NC,잠실,"8,626"
2017/08/23,수,LG,NC,잠실,"7,105"
2017/08/24,목,두산,넥센,잠실,"7,139"
2017/08/25,금,두산,넥센,잠실,"10,083"
2017/08/26,토,두산,LG,잠실,"25,000"
2017/08/27,일,두산,LG,잠실,"19,592"
2017/08/29,화,두산,롯데,잠실,"17,150"
2017/08/30,수,두산,롯데,잠실,"17,652"
2017/08/31,목,LG,넥센,잠실,"8,161"
2017/09/01,금,LG,넥센,잠실,"9,705"
2017/09/02,토,두산,삼성,잠실,"21,185"
2017/09/03,일,두산,삼성,잠실,"21,654"
2017/09/05,화,LG,KIA,잠실,"17,754"
2017/09/06,수,LG,KIA,잠실,"16,971"
2017/09/07,목,두산,KT,잠실,"8,151"
2017/09/08,금,두산,KT,잠실,"10,353"
2017/09/09,토,LG,두산,잠실,"24,112"
2017/09/10,일,LG,두산,잠실,"21,683"
2017/09/12,화,LG,롯데,잠실,"17,685"
2017/09/13,수,LG,롯데,잠실,"19,068"
2017/09/14,목,두산,SK,잠실,"12,965"
2017/09/15,금,두산,SK,잠실,"14,770"
2017/09/16,토,LG,한화,잠실,"19,961"
2017/09/17,일,LG,한화,잠실,"16,454"
2017/09/19,화,LG,KT,잠실,"5,523"
2017/09/20,수,LG,한화,잠실,"9,719"
2017/09/24,일,두산,KT,잠실,"18,802"
2017/09/29,금,LG,두산,잠실,"22,246"
2017/09/30,토,LG,삼성,잠실,"18,477"
2017/10/01,일,LG,삼성,잠실,"19,440"
2017/10/03,화,두산,SK,잠실,"25,000"
2018/03/24,토,두산,삼성,잠실,"25,000"
2018/03/25,일,두산,삼성,잠실,"20,240"
2018/03/27,화,두산,롯데,잠실,"10,391"
2018/03/28,수,두산,롯데,잠실,"10,382"
2018/03/29,목,두산,롯데,잠실,"10,956"
2018/03/30,금,LG,KIA,잠실,"22,667"
2018/03/31,토,LG,KIA,잠실,"25,000"
2018/04/01,일,LG,KIA,잠실,"23,815"
2018/04/03,화,두산,LG,잠실,"13,557"
2018/04/04,수,두산,LG,잠실,"12,742"
2018/04/07,토,두산,NC,잠실,"16,586"
2018/04/08,일,두산,NC,잠실,"13,877"
2018/04/10,화,LG,SK,잠실,"8,069"
2018/04/11,수,LG,SK,잠실,"8,940"
2018/04/12,목,LG,SK,잠실,"9,825"
2018/04/13,금,LG,KT,잠실,"10,899"
2018/04/14,토,LG,KT,잠실,"12,862"
2018/04/15,일,LG,KT,잠실,"15,336"
2018/04/17,화,두산,한화,잠실,"16,073"
2018/04/18,수,두산,한화,잠실,"16,437"
2018/04/19,목,두산,한화,잠실,"16,104"
2018/04/20,금,두산,KIA,잠실,"23,214"
2018/04/21,토,두산,KIA,잠실,"25,000"
2018/04/22,일,두산,KIA,잠실,"22,177"
2018/04/24,화,LG,넥센,잠실,"8,531"
2018/04/25,수,LG,넥센,잠실,"10,744"
2018/04/26,목,LG,넥센,잠실,"11,008"
2018/04/27,금,LG,삼성,잠실,"15,885"
2018/04/28,토,LG,삼성,잠실,"23,380"
2018/04/29,일,LG,삼성,잠실,"21,031"
2018/05/01,화,두산,KT,잠실,"13,421"
2018/05/03,목,두산,KT,잠실,"10,196"
2018/05/04,금,LG,두산,잠실,"23,098"
2018/05/05,토,LG,두산,잠실,"25,000"
2018/05/06,일,LG,두산,잠실,"21,014"
2018/05/08,화,LG,롯데,잠실,"13,448"
2018/05/09,수,LG,롯데,잠실,"18,561"
2018/05/10,목,LG,롯데,잠실,"19,697"
2018/05/11,금,두산,넥센,잠실,"14,269"
2018/05/13,일,두산,넥센,잠실,"17,813"
2018/05/15,화,두산,SK,잠실,"13,222"
2018/05/16,수,두산,SK,잠실,"7,119"
2018/05/18,금,LG,한화,잠실,"21,431"
2018/05/19,토,LG,한화,잠실,"25,000"
2018/05/20,일,LG,한화,잠실,"25,000"
2018/05/22,화,LG,NC,잠실,"18,543"
2018/05/23,수,LG,NC,잠실,"9,279"
2018/05/24,목,LG,NC,잠실,"11,075"
2018/05/25,금,두산,삼성,잠실,"15,168"
2018/05/26,토,두산,삼성,잠실,"25,000"
2018/05/27,일,두산,삼성,잠실,"21,171"
2018/05/30,수,두산,SK,잠실,"12,382"
2018/05/31,목,두산,SK,잠실,"12,412"
2018/06/01,금,LG,넥센,잠실,"12,385"
2018/06/02,토,LG,넥센,잠실,"20,227"
2018/06/03,일,LG,넥센,잠실,"15,687"
2018/06/05,화,LG,한화,잠실,"23,934"
2018/06/06,수,LG,한화,잠실,"23,593"
2018/06/07,목,LG,한화,잠실,"20,245"
2018/06/08,금,두산,NC,잠실,"11,531"
2018/06/09,토,두산,NC,잠실,"20,314"
2018/06/10,일,두산,NC,잠실,"14,323"
2018/06/12,화,두산,KT,잠실,"10,412"
2018/06/13,수,두산,KT,잠실,"13,845"
2018/06/14,목,두산,KT,잠실,"7,513"
2018/06/15,금,LG,KIA,잠실,"23,375"
2018/06/16,토,LG,KIA,잠실,"25,000"
2018/06/17,일,LG,KIA,잠실,"23,586"
2018/06/19,화,두산,넥센,잠실,"7,323"
2018/06/20,수,두산,넥센,잠실,"9,056"
2018/06/21,목,두산,넥센,잠실,"10,145"
2018/06/22,금,LG,롯데,잠실,"21,084"
2018/06/23,토,LG,롯데,잠실,"24,212"
2018/06/24,일,LG,롯데,잠실,"20,904"
2018/06/27,수,LG,KT,잠실,"9,004"
2018/06/29,금,두산,KIA,잠실,"23,114"
2018/06/30,토,두산,KIA,잠실,"24,110"
2018/07/03,화,LG,NC,잠실,"7,034"
2018/07/04,수,LG,NC,잠실,"7,343"
2018/07/05,목,LG,NC,잠실,"8,125"
2018/07/06,금,두산,삼성,잠실,"17,262"
2018/07/07,토,두산,삼성,잠실,"21,138"
2018/07/08,일,두산,삼성,잠실,"17,144"
2018/07/10,화,LG,SK,잠실,"8,445"
2018/07/11,수,LG,SK,잠실,"9,417"
2018/07/12,목,LG,SK,잠실,"9,947"
2018/07/17,화,두산,롯데,잠실,"12,122"
2018/07/18,수,두산,롯데,잠실,"11,707"
2018/07/19,목,두산,롯데,잠실,"12,265"
2018/07/20,금,LG,두산,잠실,"19,800"
2018/07/21,토,LG,두산,잠실,"22,550"
2018/07/22,일,LG,두산,잠실,"18,463"
2018/07/24,화,LG,삼성,잠실,"9,393"
2018/07/25,수,LG,삼성,잠실,"8,849"
2018/07/26,목,LG,삼성,잠실,"9,415"
2018/07/27,금,두산,한화,잠실,"19,023"
2018/07/28,토,두산,한화,잠실,"22,202"
2018/07/29,일,두산,한화,잠실,"21,084"
2018/07/31,화,두산,LG,잠실,"13,107"
2018/08/01,수,두산,LG,잠실,"12,145"
2018/08/02,목,두산,LG,잠실,"13,304"
2018/08/04,토,LG,SK,잠실,"12,070"
2018/08/05,일,LG,SK,잠실,"8,689"
2018/08/07,화,두산,한화,잠실,"13,184"
2018/08/08,수,두산,한화,잠실,"14,047"
2018/08/09,목,LG,삼성,잠실,"10,007"
2018/08/10,금,LG,삼성,잠실,"12,706"
2018/08/11,토,두산,롯데,잠실,"18,426"
2018/08/12,일,두산,롯데,잠실,"14,175"
2018/08/14,화,두산,SK,잠실,"11,132"
2018/08/15,수,두산,SK,잠실,"12,244"
2018/08/16,목,두산,넥센,잠실,"9,168"
2018/09/04,화,두산,KIA,잠실,"14,603"
2018/09/05,수,두산,KIA,잠실,"17,191"
2018/09/06,목,LG,NC,잠실,"6,944"
2018/09/07,금,LG,NC,잠실,"7,917"
2018/09/08,토,LG,한화,잠실,"22,908"
2018/09/09,일,LG,한화,잠실,"19,286"
2018/09/11,화,LG,넥센,잠실,"8,386"
2018/09/12,수,LG,넥센,잠실,"8,463"
2018/09/13,목,두산,KT,잠실,"9,214"
2018/09/14,금,두산,KT,잠실,"10,124"
2018/09/15,토,두산,NC,잠실,"16,558"
2018/09/16,일,두산,NC,잠실,"13,214"
2018/09/18,화,LG,롯데,잠실,"11,101"
2018/09/19,수,LG,롯데,잠실,"10,126"
2018/09/20,목,LG,두산,잠실,"12,019"
2018/09/21,금,LG,두산,잠실,"17,031"
2018/09/22,토,LG,KT,잠실,"13,314"
2018/09/23,일,LG,KT,잠실,"9,444"
2018/09/25,화,두산,넥센,잠실,"24,553"
2018/09/26,수,두산,넥센,잠실,"15,232"
2018/09/27,목,LG,KIA,잠실,"17,937"
2018/09/28,금,LG,KIA,잠실,"21,766"
2018/09/29,토,두산,LG,잠실,"24,183"
2018/09/30,일,두산,LG,잠실,"19,274"
2018/10/02,화,LG,KT,잠실,"5,512"
2018/10/03,수,LG,KT,잠실,"11,896"
2018/10/06,토,두산,LG,잠실,"19,891"
2018/10/07,일,두산,KIA,잠실,"25,000"
2018/10/10,수,두산,SK,잠실,"11,126"
2018/10/11,목,두산,SK,잠실,"10,987"
2018/10/12,금,두산,NC,잠실,"10,914"
2018/10/13,토,두산,KT,잠실,"18,528"
2019/03/23,토,두산,한화,잠실,"25,000"
2019/03/24,일,두산,한화,잠실,"25,000"
2019/03/26,화,두산,키움,잠실,"6,155"
2019/03/27,수,두산,키움,잠실,"5,784"
2019/03/28,목,두산,키움,잠실,"6,752"
2019/03/29,금,LG,롯데,잠실,"19,370"
2019/03/30,토,LG,롯데,잠실,"20,601"
2019/03/31,일,LG,롯데,잠실,"21,267"
2019/04/02,화,두산,KT,잠실,"6,091"
2019/04/03,수,두산,KT,잠실,"5,811"
2019/04/04,목,두산,KT,잠실,"5,427"
2019/04/05,금,두산,NC,잠실,"10,365"
2019/04/06,토,두산,NC,잠실,"14,279"
2019/04/07,일,두산,NC,잠실,"16,081"
2019/04/10,수,LG,삼성,잠실,"10,261"
2019/04/11,목,LG,삼성,잠실,"11,168"
2019/04/12,금,LG,두산,잠실,"18,489"
2019/04/13,토,LG,두산,잠실,"25,000"
2019/04/14,일,LG,두산,잠실,"15,459"
2019/04/16,화,두산,SK,잠실,"8,633"
2019/04/17,수,두산,SK,잠실,"9,217"
2019/04/18,목,두산,SK,잠실,"8,624"
2019/04/19,금,LG,키움,잠실,"9,936"
2019/04/20,토,LG,키움,잠실,"16,362"
2019/04/21,일,LG,키움,잠실,"14,364"
2019/04/23,화,LG,KIA,잠실,"12,485"
2019/04/24,수,LG,KIA,잠실,"14,171"
2019/04/26,금,두산,롯데,잠실,"15,257"
2019/04/27,토,두산,롯데,잠실,"24,027"
2019/04/28,일,두산,롯데,잠실,"20,219"
2019/04/30,화,LG,KT,잠실,"10,144"
2019/05/01,수,LG,KT,잠실,"12,582"
2019/05/02,목,LG,KT,잠실,"9,806"
2019/05/03,금,두산,LG,잠실,"24,133"
2019/05/04,토,두산,LG,잠실,"25,000"
2019/05/05,일,두산,LG,잠실,"25,000"
2019/05/07,화,두산,KIA,잠실,"13,196"
2019/05/08,수,두산,KIA,잠실,"12,115"
2019/05/09,목,두산,KIA,잠실,"16,281"
2019/05/10,금,LG,한화,잠실,"19,399"
2019/05/11,토,LG,한화,잠실,"25,000"
2019/05/12,일,LG,한화,잠실,"21,860"
2019/05/14,화,두산,삼성,잠실,"12,127"
2019/05/15,수,두산,삼성,잠실,"12,085"
2019/05/16,목,두산,삼성,잠실,"15,267"
2019/05/17,금,LG,NC,잠실,"11,998"
2019/05/18,토,LG,NC,잠실,"17,182"
2019/05/21,화,LG,SK,잠실,"10,254"
2019/05/22,수,LG,SK,잠실,"10,082"
2019/05/23,목,LG,SK,잠실,"10,249"
2019/05/24,금,두산,한화,잠실,"20,567"
2019/05/25,토,두산,한화,잠실,"25,000"
2019/05/26,일,두산,한화,잠실,"22,209"
2019/05/28,화,두산,삼성,잠실,"10,353"
2019/05/29,수,두산,삼성,잠실,"12,132"
2019/05/30,목,두산,삼성,잠실,"10,428"
2019/05/31,금,LG,NC,잠실,"10,099"
2019/06/01,토,LG,NC,잠실,"18,500"
2019/06/02,일,LG,NC,잠실,"12,536"
2019/06/04,화,LG,KT,잠실,"7,244"
2019/06/05,수,LG,KT,잠실,"9,860"
2019/06/06,목,LG,KT,잠실,"13,673"
2019/06/07,금,두산,키움,잠실,"11,436"
2019/06/08,토,두산,키움,잠실,"18,312"
2019/06/09,일,두산,키움,잠실,"10,287"
2019/06/11,화,LG,롯데,잠실,"10,802"
2019/06/12,수,LG,롯데,잠실,"13,909"
2019/06/13,목,LG,롯데,잠실,"13,705"
2019/06/14,금,두산,LG,잠실,"18,227"
2019/06/15,토,두산,LG,잠실,"23,106"
2019/06/16,일,두산,LG,잠실,"17,912"
2019/06/18,화,두산,NC,잠실,"6,568"
2019/06/19,수,두산,NC,잠실,"7,521"
2019/06/20,목,두산,NC,잠실,"9,189"
2019/06/21,금,LG,KIA,잠실,"18,316"
2019/06/22,토,LG,KIA,잠실,"25,000"
2019/06/23,일,LG,KIA,잠실,"23,321"
2019/06/25,화,LG,SK,잠실,"9,777"
2019/06/26,수,LG,SK,잠실,"7,888"
2019/06/27,목,LG,SK,잠실,"8,475"
2019/06/28,금,두산,롯데,잠실,"12,213"
2019/06/29,토,두산,롯데,잠실,"16,351"
2019/06/30,일,두산,롯데,잠실,"14,096"
2019/07/02,화,LG,한화,잠실,"10,360"
2019/07/03,수,LG,한화,잠실,"11,170"
2019/07/04,목,LG,한화,잠실,"12,362"
2019/07/05,금,두산,SK,잠실,"13,135"
2019/07/06,토,두산,SK,잠실,"17,334"
2019/07/07,일,두산,SK,잠실,"12,108"
2019/07/09,화,LG,두산,잠실,"13,844"
2019/07/11,목,LG,두산,잠실,"11,728"
2019/07/12,금,LG,삼성,잠실,"15,973"
2019/07/13,토,LG,삼성,잠실,"21,094"
2019/07/14,일,LG,삼성,잠실,"14,603"
2019/07/16,화,두산,KT,잠실,"6,156"
2019/07/17,수,두산,KT,잠실,"7,104"
2019/07/18,목,두산,KT,잠실,"8,129"
2019/07/27,토,두산,KIA,잠실,"17,926"
2019/07/30,화,LG,키움,잠실,"9,570"
2019/07/31,수,LG,키움,잠실,"8,027"
2019/08/01,목,LG,키움,잠실,"10,007"
2019/08/03,토,LG,삼성,잠실,"18,146"
2019/08/04,일,LG,삼성,잠실,"12,408"
2019/08/06,화,두산,한화,잠실,"10,934"
2019/08/07,수,두산,한화,잠실,"10,137"
2019/08/08,목,두산,KT,잠실,"6,334"
2019/08/09,금,두산,KT,잠실,"6,126"
2019/08/10,토,LG,SK,잠실,"12,450"
2019/08/11,일,LG,SK,잠실,"8,495"
2019/08/13,화,LG,키움,잠실,"7,224"
2019/08/14,수,LG,키움,잠실,"9,092"
2019/08/16,금,두산,LG,잠실,"13,162"
2019/08/17,토,두산,롯데,잠실,"15,215"
2019/08/18,일,두산,롯데,잠실,"11,437"
2019/08/20,화,LG,KIA,잠실,"12,490"
2019/08/21,수,LG,KIA,잠실,"11,806"
2019/08/22,목,LG,NC,잠실,"6,670"
2019/08/23,금,LG,NC,잠실,"8,330"
2019/08/24,토,LG,KT,잠실,"14,388"
2019/08/25,일,LG,KT,잠실,"11,273"
2019/08/27,화,두산,SK,잠실,"9,204"
2019/08/28,수,두산,SK,잠실,"10,186"
2019/08/30,금,LG,한화,잠실,"11,752"
2019/08/31,토,두산,삼성,잠실,"18,526"
2019/09/01,일,두산,삼성,잠실,"14,075"
2019/09/03,화,두산,키움,잠실,"8,566"
2019/09/06,금,LG,롯데,잠실,"9,837"
2019/09/08,일,LG,두산,잠실,"17,675"
2019/09/11,수,두산,NC,잠실,"8,618"
2019/09/12,목,두산,KIA,잠실,"12,267"
2019/09/13,금,두산,KIA,잠실,"12,415"
2019/09/14,토,LG,KIA,잠실,"17,406"
2019/09/15,일,LG,두산,잠실,"18,171"
2019/09/16,월,두산,키움,잠실,"9,298"
2019/09/20,금,두산,KIA,잠실,"13,147"
2019/09/21,토,두산,KIA,잠실,"16,912"
2019/09/22,일,두산,LG,잠실,"14,596"
2019/09/23,월,LG,한화,잠실,"11,775"
2019/09/24,화,LG,삼성,잠실,"15,115"
2019/09/27,금,LG,NC,잠실,"19,523"
2019/09/28,토,두산,한화,잠실,"22,513"
2019/09/29,일,LG,두산,잠실,"25,000"
2019/09/30,월,LG,롯데,잠실,"12,042"
2019/10/01,화,두산,NC,잠실,"24,081"