date,weekday,datename,weekend
2018-05-31,Thursday,,
2018-06-01,Friday,,
2018-06-02,Saturday,,1.0
2018-06-03,Sunday,,1.0
2018-06-04,Monday,,
2018-06-05,Tuesday,,
2018-06-06,Wednesday,현충일,1.0
2018-06-07,Thursday,,
2018-06-08,Friday,,
2018-06-09,Saturday,,1.0
2018-06-10,Sunday,,1.0
2018-06-11,Monday,,
2018-06-12,Tuesday,,
2018-06-13,Wednesday,전국동시지방선거,1.0
2018-06-14,Thursday,,
2018-06-15,Friday,,
2018-06-16,Saturday,,1.0
2018-06-17,Sunday,,1.0
2018-06-18,Monday,,
2018-06-19,Tuesday,,
2018-06-20,Wednesday,,
2018-06-21,Thursday,,
2018-06-22,Friday,,
2018-06-23,Saturday,,1.0
2018-06-24,Sunday,,1.0
2018-06-25,Monday,,
2018-06-26,Tuesday,,
2018-06-27,Wednesday,,
2018-06-28,Thursday,,
2018-06-29,Friday,,
2018-06-30,Saturday,,1.0
2018-07-01,Sunday,,1.0
2018-07-02,Monday,,
2018-07-03,Tuesday,,
2018-07-04,Wednesday,,
2018-07-05,Thursday,,
2018-07-06,Friday,,
2018-07-07,Saturday,,1.0
2018-07-08,Sunday,,1.0
2018-07-09,Monday,,
2018-07-10,Tuesday,,
2018-07-11,Wednesday,,
2018-07-12,Thursday,,
2018-07-13,Friday,,
2018-07-14,Saturday,,1.0
2018-07-15,Sunday,,1.0
2018-07-16,Monday,,
2018-07-17,Tuesday,제헌절,1.0
2018-07-18,Wednesday,,
2018-07-19,Thursday,,
2018-07-20,Friday,,
2018-07-21,Saturday,,1.0
2018-07-22,Sunday,,1.0
2018-07-23,Monday,,
2018-07-24,Tuesday,,
2018-07-25,Wednesday,,
2018-07-26,Thursday,,
2018-07-27,Friday,,
2018-07-28,Saturday,,1.0
2018-07-29,Sunday,,1.0
2018-07-30,Monday,,
2018-07-31,Tuesday,,
2018-08-01,Wednesday,,
2018-08-02,Thursday,,
2018-08-03,Friday,,
2018-08-04,Saturday,,1.0
2018-08-05,Sunday,,1.0
2018-08-06,Monday,,
2018-08-07,Tuesday,,
2018-08-08,Wednesday,,
2018-08-09,Thursday,,
2018-08-10,Friday,,
2018-08-11,Saturday,,1.0
2018-08-12,Sunday,,1.0
2018-08-13,Monday,,
2018-08-14,Tuesday,,
2018-08-15,Wednesday,광복절,1.0
2018-08-16,Thursday,,
2018-08-17,Friday,,
2018-08-18,Saturday,,1.0
2018-08-19,Sunday,,1.0
2018-08-20,Monday,,
2018-08-21,Tuesday,,
2018-08-22,Wednesday,,
2018-08-23,Thursday,,
2018-08-24,Friday,,
2018-08-25,Saturday,,1.0
2018-08-26,Sunday,,1.0
2018-08-27,Monday,,
2018-08-28,Tuesday,,
2018-08-29,Wednesday,,
2018-08-30,Thursday,,
2018-08-31,Friday,,
2018-09-01,Saturday,,1.0
2018-09-02,Sunday,,1.0
2018-09-03,Monday,,
2018-09-04,Tuesday,,
2018-09-05,Wednesday,,
2018-09-06,Thursday,,
2018-09-07,Friday,,
2018-09-08,Saturday,,1.0
2018-09-09,Sunday,,1.0
2018-09-10,Monday,,
2018-09-11,Tuesday,,
2018-09-12,Wednesday,,
2018-09-13,Thursday,,
2018-09-14,Friday,,
2018-09-15,Saturday,,1.0
2018-09-16,Sunday,,1.0
2018-09-17,Monday,,
2018-09-18,Tuesday,,
2018-09-19,Wednesday,,
2018-09-20,Thursday,,
2018-09-21,Friday,,
2018-09-22,Saturday,,1.0
2018-09-23,Sunday,추석,1.0
2018-09-24,Monday,추석,1.0
2018-09-25,Tuesday,추석,1.0
2018-09-26,Wednesday,대체휴무일,1.0
2018-09-27,Thursday,,
2018-09-28,Friday,,
2018-09-29,Saturday,,1.0
2018-09-30,Sunday,,1.0
2018-10-01,Monday,,
2018-10-02,Tuesday,,
2018-10-03,Wednesday,개천절,1.0
2018-10-04,Thursday,,
2018-10-05,Friday,,
2018-10-06,Saturday,,1.0
2018-10-07,Sunday,,1.0
2018-10-08,Monday,,
2018-10-09,Tuesday,한글날,1.0
2018-10-10,Wednesday,,
2018-10-11,Thursday,,
2018-10-12,Friday,,
2018-10-13,Saturday,,1.0
2018-10-14,Sunday,,1.0
2018-10-15,Monday,,
2018-10-16,Tuesday,,
2018-10-17,Wednesday,,
2018-10-18,Thursday,,
2018-10-19,Friday,,
2018-10-20,Saturday,,1.0
2018-10-21,Sunday,,1.0
2018-10-22,Monday,,
2018-10-23,Tuesday,,
2018-10-24,Wednesday,,
2018-10-25,Thursday,,
2018-10-26,Friday,,
2018-10-27,Saturday,,1.0
2018-10-28,Sunday,,1.0
2018-10-29,Monday,,
2018-10-30,Tuesday,,
2018-10-31,Wednesday,,
2018-11-01,Thursday,,
2018-11-02,Friday,,
2018-11-03,Saturday,,1.0
2018-11-04,Sunday,,1.0
2018-11-05,Monday,,
2018-11-06,Tuesday,,
2018-11-07,Wednesday,,
2018-11-08,Thursday,,
2018-11-09,Friday,,
2018-11-10,Saturday,,1.0
2018-11-11,Sunday,,1.0
2018-11-12,Monday,,
2018-11-13,Tuesday,,
2018-11-14,Wednesday,,
2018-11-15,Thursday,,
2018-11-16,Friday,,
2018-11-17,Saturday,,1.0
2018-11-18,Sunday,,1.0
2018-11-19,Monday,,
2018-11-20,Tuesday,,
2018-11-21,Wednesday,,
2018-11-22,Thursday,,
2018-11-23,Friday,,
2018-11-24,Saturday,,1.0
2018-11-25,Sunday,,1.0
2018-11-26,Monday,,
2018-11-27,Tuesday,,
2018-11-28,Wednesday,,
2018-11-29,Thursday,,
2018-11-30,Friday,,
2018-12-01,Saturday,,1.0
2018-12-02,Sunday,,1.0
2018-12-03,Monday,,
2018-12-04,Tuesday,,
2018-12-05,Wednesday,,
2018-12-06,Thursday,,
2018-12-07,Friday,,
2018-12-08,Saturday,,1.0
2018-12-09,Sunday,,1.0
2018-12-10,Monday,,
2018-12-11,Tuesday,,
2018-12-12,Wednesday,,
2018-12-13,Thursday,,
2018-12-14,Friday,,
2018-12-15,Saturday,,1.0
2018-12-16,Sunday,,1.0
2018-12-17,Monday,,
2018-12-18,Tuesday,,
2018-12-19,Wednesday,,
2018-12-20,Thursday,,
2018-12-21,Friday,,
2018-12-22,Saturday,,1.0
2018-12-23,Sunday,,1.0
2018-12-24,Monday,,
2018-12-25,Tuesday,기독탄신일,1.0
2018-12-26,Wednesday,,
2018-12-27,Thursday,,
2018-12-28,Friday,,
2018-12-29,Saturday,,1.0
2018-12-30,Sunday,,1.0
2018-12-31,Monday,,
2019-01-01,Tuesday,1월1일,1.0
2019-01-02,Wednesday,,
2019-01-03,Thursday,,
2019-01-04,Friday,,
2019-01-05,Saturday,,1.0
2019-01-06,Sunday,,1.0
2019-01-07,Monday,,
2019-01-08,Tuesday,,
2019-01-09,Wednesday,,
2019-01-10,Thursday,,
2019-01-11,Friday,,
2019-01-12,Saturday,,1.0
2019-01-13,Sunday,,1.0
2019-01-14,Monday,,
2019-01-15,Tuesday,,
2019-01-16,Wednesday,,
2019-01-17,Thursday,,
2019-01-18,Friday,,
2019-01-19,Saturday,,1.0
2019-01-20,Sunday,,1.0
2019-01-21,Monday,,
2019-01-22,Tuesday,,
2019-01-23,Wednesday,,
2019-01-24,Thursday,,
2019-01-25,Friday,,
2019-01-26,Saturday,,1.0
2019-01-27,Sunday,,1.0
2019-01-28,Monday,,
2019-01-29,Tuesday,,
2019-01-30,Wednesday,,
2019-01-31,Thursday,,
2019-02-01,Friday,,
2019-02-02,Saturday,,1.0
2019-02-03,Sunday,,1.0
2019-02-04,Monday,설날,1.0
2019-02-05,Tuesday,설날,1.0
2019-02-06,Wednesday,설날,1.0
2019-02-07,Thursday,,
2019-02-08,Friday,,
2019-02-09,Saturday,,1.0
2019-02-10,Sunday,,1.0
2019-02-11,Monday,,
2019-02-12,Tuesday,,
2019-02-13,Wednesday,,
2019-02-14,Thursday,,
2019-02-15,Friday,,
2019-02-16,Saturday,,1.0
2019-02-17,Sunday,,1.0
2019-02-18,Monday,,
2019-02-19,Tuesday,,
2019-02-20,Wednesday,,
2019-02-21,Thursday,,
2019-02-22,Friday,,
2019-02-23,Saturday,,1.0
2019-02-24,Sunday,,1.0
2019-02-25,Monday,,
2019-02-26,Tuesday,,
2019-02-27,Wednesday,,
2019-02-28,Thursday,,
2019-03-01,Friday,삼일절,1.0
2019-03-02,Saturday,,1.0
2019-03-03,Sunday,,1.0
2019-03-04,Monday,,
2019-03-05,Tuesday,,
2019-03-06,Wednesday,,
2019-03-07,Thursday,,
2019-03-08,Friday,,
2019-03-09,Saturday,,1.0
2019-03-10,Sunday,,1.0
2019-03-11,Monday,,
2019-03-12,Tuesday,,
2019-03-13,Wednesday,,
2019-03-14,Thursday,,
2019-03-15,Friday,,
2019-03-16,Saturday,,1.0
2019-03-17,Sunday,,1.0
2019-03-18,Monday,,
2019-03-19,Tuesday,,
2019-03-20,Wednesday,,
2019-03-21,Thursday,,
2019-03-22,Friday,,
2019-03-23,Saturday,,1.0
2019-03-24,Sunday,,1.0
2019-03-25,Monday,,
2019-03-26,Tuesday,,
2019-03-27,Wednesday,,
2019-03-28,Thursday,,
2019-03-29,Friday,,
2019-03-30,Saturday,,1.0
2019-03-31,Sunday,,1.0
2019-04-01,Monday,,
2019-04-02,Tuesday,,
2019-04-03,Wednesday,,
2019-04-04,Thursday,,
2019-04-05,Friday,,
2019-04-06,Saturday,,1.0
2019-04-07,Sunday,,1.0
2019-04-08,Monday,,
2019-04-09,Tuesday,,
2019-04-10,Wednesday,,
2019-04-11,Thursday,,
2019-04-12,Friday,,
2019-04-13,Saturday,,1.0
2019-04-14,Sunday,,1.0
2019-04-15,Monday,,
2019-04-16,Tuesday,,
2019-04-17,Wednesday,,
2019-04-18,Thursday,,
2019-04-19,Friday,,
2019-04-20,Saturday,,1.0
2019-04-21,Sunday,,1.0
2019-04-22,Monday,,
2019-04-23,Tuesday,,
2019-04-24,Wednesday,,
2019-04-25,Thursday,,
2019-04-26,Friday,,
2019-04-27,Saturday,,1.0
2019-04-28,Sunday,,1.0
2019-04-29,Monday,,
2019-04-30,Tuesday,,
2019-05-01,Wednesday,,
2019-05-02,Thursday,,
2019-05-03,Friday,,
2019-05-04,Saturday,,1.0
2019-05-05,Sunday,어린이날,1.0
2019-05-06,Monday,대체공휴일,1.0
2019-05-07,Tuesday,,
2019-05-08,Wednesday,,
2019-05-09,Thursday,,
2019-05-10,Friday,,
2019-05-11,Saturday,,1.0
2019-05-12,Sunday,부처님오신날,1.0
2019-05-13,Monday,,
2019-05-14,Tuesday,,
2019-05-15,Wednesday,,
2019-05-16,Thursday,,
2019-05-17,Friday,,
2019-05-18,Saturday,,1.0
2019-05-19,Sunday,,1.0
2019-05-20,Monday,,
2019-05-21,Tuesday,,
2019-05-22,Wednesday,,
2019-05-23,Thursday,,
2019-05-24,Friday,,
2019-05-25,Saturday,,1.0
2019-05-26,Sunday,,1.0
2019-05-27,Monday,,
2019-05-28,Tuesday,,
2019-05-29,Wednesday,,
2019-05-30,Thursday,,
2019-05-31,Friday,,
2019-06-01,Saturday,,1.0
2019-06-02,Sunday,,1.0
2019-06-03,Monday,,
2019-06-04,Tuesday,,
2019-06-05,Wednesday,,
2019-06-06,Thursday,현충일,1.0
2019-06-07,Friday,,
2019-06-08,Saturday,,1.0
2019-06-09,Sunday,,1.0
2019-06-10,Monday,,
2019-06-11,Tuesday,,
2019-06-12,Wednesday,,
2019-06-13,Thursday,,
2019-06-14,Friday,,
2019-06-15,Saturday,,1.0
2019-06-16,Sunday,,1.0
2019-06-17,Monday,,
2019-06-18,Tuesday,,
2019-06-19,Wednesday,,
2019-06-20,Thursday,,
2019-06-21,Friday,,
2019-06-22,Saturday,,1.0
2019-06-23,Sunday,,1.0
2019-06-24,Monday,,
2019-06-25,Tuesday,,
2019-06-26,Wednesday,,
2019-06-27,Thursday,,
2019-06-28,Friday,,
2019-06-29,Saturday,,1.0
2019-06-30,Sunday,,1.0
2019-07-01,Monday,,
2019-07-02,Tuesday,,
2019-07-03,Wednesday,,
2019-07-04,Thursday,,
2019-07-05,Friday,,
2019-07-06,Saturday,,1.0
2019-07-07,Sunday,,1.0
2019-07-08,Monday,,
2019-07-09,Tuesday,,
2019-07-10,Wednesday,,
2019-07-11,Thursday,,
2019-07-12,Friday,,
2019-07-13,Saturday,,1.0
2019-07-14,Sunday,,1.0
2019-07-15,Monday,,
2019-07-16,Tuesday,,
2019-07-17,Wednesday,제헌절,1.0
2019-07-18,Thursday,,
2019-07-19,Friday,,
2019-07-20,Saturday,,1.0
2019-07-21,Sunday,,1.0
2019-07-22,Monday,,
2019-07-23,Tuesday,,
2019-07-24,Wednesday,,
2019-07-25,Thursday,,
2019-07-26,Friday,,
2019-07-27,Saturday,,1.0
2019-07-28,Sunday,,1.0
2019-07-29,Monday,,
2019-07-30,Tuesday,,
2019-07-31,Wednesday,,
2019-08-01,Thursday,,
2019-08-02,Friday,,
2019-08-03,Saturday,,1.0
2019-08-04,Sunday,,1.0
2019-08-05,Monday,,
2019-08-06,Tuesday,,
2019-08-07,Wednesday,,
2019-08-08,Thursday,,
2019-08-09,Friday,,
2019-08-10,Saturday,,1.0
2019-08-11,Sunday,,1.0
2019-08-12,Monday,,
2019-08-13,Tuesday,,
2019-08-14,Wednesday,,
2019-08-15,Thursday,광복절,1.0
2019-08-16,Friday,,
2019-08-17,Saturday,,1.0
2019-08-18,Sunday,,1.0
2019-08-19,Monday,,
2019-08-20,Tuesday,,
2019-08-21,Wednesday,,
2019-08-22,Thursday,,
2019-08-23,Friday,,
2019-08-24,Saturday,,1.0
2019-08-25,Sunday,,1.0
2019-08-26,Monday,,
2019-08-27,Tuesday,,
2019-08-28,Wednesday,,
2019-08-29,Thursday,,
2019-08-30,Friday,,
2019-08-31,Saturday,,1.0
2019-09-01,Sunday,,1.0
2019-09-02,Monday,,
2019-09-03,Tuesday,,
2019-09-04,Wednesday,,
2019-09-05,Thursday,,
2019-09-06,Friday,,
2019-09-07,Saturday,,1.0
2019-09-08,Sunday,,1.0
2019-09-09,Monday,,
2019-09-10,Tuesday,,
2019-09-11,Wednesday,,
2019-09-12,Thursday,추석,1.0
2019-09-13,Friday,추석,1.0
2019-09-14,Saturday,추석,1.0
2019-09-15,Sunday,,1.0
2019-09-16,Monday,,
2019-09-17,Tuesday,,
2019-09-18,Wednesday,,
2019-09-19,Thursday,,
2019-09-20,Friday,,
2019-09-21,Saturday,,1.0
2019-09-22,Sunday,,1.0
2019-09-23,Monday,,
2019-09-24,Tuesday,,
2019-09-25,Wednesday,,
2019-09-26,Thursday,,
2019-09-27,Friday,,
2019-09-28,Saturday,,1.0
2019-09-29,Sunday,,1.0
2019-09-30,Monday,,
2019-10-01,Tuesday,,
2019-10-02,Wednesday,,
2019-10-03,Thursday,개천절,1.0
2019-10-04,Friday,,
2019-10-05,Saturday,,1.0
2019-10-06,Sunday,,1.0
2019-10-07,Monday,,
2019-10-08,Tuesday,,
2019-10-09,Wednesday,한글날,1.0
2019-10-10,Thursday,,
2019-10-11,Friday,,
2019-10-12,Saturday,,1.0
2019-10-13,Sunday,,1.0
2019-10-14,Monday,,
2019-10-15,Tuesday,,
2019-10-16,Wednesday,,
2019-10-17,Thursday,,
2019-10-18,Friday,,
2019-10-19,Saturday,,1.0
2019-10-20,Sunday,,1.0
2019-10-21,Monday,,
2019-10-22,Tuesday,,
2019-10-23,Wednesday,,
2019-10-24,Thursday,,
2019-10-25,Friday,,
2019-10-26,Saturday,,1.0
2019-10-27,Sunday,,1.0
2019-10-28,Monday,,
2019-10-29,Tuesday,,
2019-10-30,Wednesday,,
2019-10-31,Thursday,,
