,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
12541,20171118,송파구,0.013000000000000001,0.024,0.4,0.004,42.0,26.0
12580,20171119,송파구,0.017,0.021,0.4,0.004,27.0,13.0
12619,20171120,송파구,0.036000000000000004,0.01,0.6,0.005,41.0,23.0
12658,20171121,송파구,0.047,0.005,0.8,0.005,58.0,35.0
12697,20171122,송파구,0.037000000000000005,0.012,0.7,0.005,70.0,34.0
12736,20171123,송파구,0.024,0.016,0.4,0.005,28.0,13.0
12775,20171124,송파구,0.026000000000000002,0.012,0.5,0.004,22.0,14.0
12814,20171125,송파구,0.037000000000000005,0.006,0.6,0.005,25.0,17.0
12853,20171126,송파구,0.027000000000000003,0.012,0.6,0.004,29.0,19.0
12892,20171127,송파구,0.043,0.005,0.8,0.005,49.0,30.0
12931,20171128,송파구,0.054000000000000006,0.004,1.1,0.006999999999999999,68.0,46.0
12970,20171129,송파구,0.031,0.011000000000000001,0.5,0.004,64.0,25.0
13009,20171130,송파구,0.017,0.026000000000000002,0.3,0.004,25.0,10.0
13048,20171201,송파구,0.031,0.013000000000000001,0.5,0.004,25.0,13.0
13087,20171202,송파구,0.040999999999999995,0.006,0.8,0.004,43.0,26.0
13126,20171203,송파구,0.035,0.006,0.6,0.005,43.0,29.0
13165,20171204,송파구,0.02,0.018000000000000002,0.5,0.004,41.0,22.0
13204,20171205,송파구,0.02,0.019,0.3,0.004,22.0,13.0
13243,20171206,송파구,0.032,0.009000000000000001,0.5,0.004,28.0,21.0
13282,20171207,송파구,0.027999999999999997,0.01,0.8,0.004,36.0,26.0
13321,20171208,송파구,0.023,0.016,0.6,0.005,31.0,24.0
13360,20171209,송파구,0.040999999999999995,0.005,0.7,0.006,40.0,25.0
13399,20171210,송파구,0.028999999999999998,0.012,0.5,0.004,34.0,23.0
13438,20171211,송파구,0.012,0.019,0.3,0.004,52.0,11.0
13477,20171212,송파구,0.019,0.016,0.4,0.005,33.0,18.0
13516,20171213,송파구,0.03,0.01,0.5,0.005,41.0,23.0
13555,20171214,송파구,0.042,0.004,0.7,0.006,54.0,36.0
13594,20171215,송파구,0.057,0.003,1.1,0.006999999999999999,76.0,55.0
13633,20171216,송파구,0.025,0.015,0.8,0.004,54.0,43.0
13672,20171217,송파구,0.016,0.023,0.5,0.005,39.0,14.0
13711,20171218,송파구,0.043,0.004,0.8,0.006,51.0,35.0
13750,20171219,송파구,0.022000000000000002,0.015,0.3,0.004,47.0,19.0
13789,20171220,송파구,0.042,0.005,0.8,0.005,43.0,29.0
13828,20171221,송파구,0.047,0.005,0.6,0.005,46.0,35.0
13867,20171222,송파구,0.052000000000000005,0.004,1.1,0.006,56.0,45.0
13906,20171223,송파구,0.046,0.011000000000000001,0.8,0.005,90.0,65.0
13945,20171224,송파구,0.038,0.012,0.8,0.004,66.0,54.0
13984,20171225,송파구,0.018000000000000002,0.023,0.4,0.004,36.0,16.0
14023,20171226,송파구,0.02,0.018000000000000002,0.4,0.004,34.0,15.0
14062,20171227,송파구,0.022000000000000002,0.016,0.4,0.005,31.0,14.0
14101,20171228,송파구,0.044000000000000004,0.004,0.9,0.006,61.0,30.0
14140,20171229,송파구,0.051,0.006,0.8,0.006999999999999999,102.0,61.0
14179,20171230,송파구,0.048,0.006,1.1,0.005,134.0,88.0
14218,20171231,송파구,0.018000000000000002,0.024,0.5,0.004,71.0,34.0
14257,20180101,송파구,0.027999999999999997,0.013000000000000001,0.7,0.004,52.0,23.0
14296,20180102,송파구,0.033,0.011000000000000001,0.9,0.005,53.0,27.0
14335,20180103,송파구,0.022000000000000002,0.016,0.4,0.004,40.0,20.0
14374,20180104,송파구,0.028999999999999998,0.013000000000000001,0.6,0.005,57.0,26.0
14413,20180105,송파구,0.038,0.008,0.7,0.006,65.0,36.0
14452,20180106,송파구,0.04,0.009000000000000001,0.7,0.005,60.0,29.0
14491,20180107,송파구,0.040999999999999995,0.005,0.9,0.005,57.0,31.0
14530,20180108,송파구,0.043,0.006999999999999999,0.8,0.006,54.0,36.0
14569,20180109,송파구,0.015,0.026000000000000002,0.3,0.004,48.0,21.0
14608,20180110,송파구,0.015,0.022000000000000002,0.3,0.004,36.0,11.0
14647,20180111,송파구,0.015,0.021,0.4,0.005,35.0,19.0
14686,20180112,송파구,0.026000000000000002,0.017,0.5,0.005,25.0,14.0
14725,20180113,송파구,0.044000000000000004,0.004,0.7,0.005,48.0,25.0
14764,20180114,송파구,0.034,0.013000000000000001,0.8,0.005,65.0,37.0
14803,20180115,송파구,0.045,0.011000000000000001,0.8,0.005,62.0,44.0
14842,20180116,송파구,0.055999999999999994,0.004,1.1,0.006999999999999999,104.0,72.0
14881,20180117,송파구,0.057,0.006,1.0,0.006,123.0,89.0
14920,20180118,송파구,0.037000000000000005,0.015,0.7,0.005,99.0,57.0
14959,20180119,송파구,0.034,0.017,0.5,0.006,76.0,29.0
14998,20180120,송파구,0.043,0.013999999999999999,0.9,0.006999999999999999,120.0,64.0
15037,20180121,송파구,0.033,0.015,0.6,0.004,84.0,38.0
15076,20180122,송파구,0.042,0.005,0.8,0.006,63.0,29.0
15115,20180123,송파구,0.013000000000000001,0.028999999999999998,0.2,0.005,26.0,11.0
15154,20180124,송파구,0.013999999999999999,0.027999999999999997,0.3,0.004,33.0,9.0
15193,20180125,송파구,0.015,0.027000000000000003,0.3,0.004,25.0,11.0
15232,20180126,송파구,0.018000000000000002,0.024,0.3,0.005,34.0,19.0
15271,20180127,송파구,0.038,0.009000000000000001,0.7,0.005,48.0,26.0
15310,20180128,송파구,0.027000000000000003,0.02,0.5,0.005,36.0,20.0
15349,20180129,송파구,0.016,0.027000000000000003,0.3,0.005,51.0,16.0
15388,20180130,송파구,0.038,0.009000000000000001,0.6,0.005,46.0,22.0
15427,20180131,송파구,0.04,0.006999999999999999,0.5,0.005,45.0,21.0
15466,20180201,송파구,0.038,0.011000000000000001,0.8,0.006,44.0,24.0
15505,20180202,송파구,0.047,0.006999999999999999,0.9,0.005,59.0,32.0
15544,20180203,송파구,0.017,0.025,0.4,0.005,40.0,20.0
15583,20180204,송파구,0.012,0.031,0.3,0.005,34.0,22.0
15622,20180205,송파구,0.015,0.027999999999999997,0.3,0.004,27.0,14.0
15661,20180206,송파구,0.013999999999999999,0.027999999999999997,0.3,0.004,32.0,19.0
15700,20180207,송파구,0.037000000000000005,0.011000000000000001,0.5,0.005,46.0,26.0
15739,20180208,송파구,0.052000000000000005,0.006,1.0,0.006,58.0,35.0
15778,20180209,송파구,0.055,0.006999999999999999,1.0,0.006999999999999999,68.0,43.0
15817,20180210,송파구,0.033,0.02,0.7,0.005,80.0,42.0
15856,20180211,송파구,0.013000000000000001,0.031,0.4,0.005,61.0,15.0
15895,20180212,송파구,0.018000000000000002,0.027999999999999997,0.3,0.005,57.0,15.0
15934,20180213,송파구,0.032,0.016,0.7,0.006,47.0,12.0
15973,20180214,송파구,0.027999999999999997,0.027999999999999997,0.7,0.006,73.0,28.0
16012,20180215,송파구,0.015,0.031,0.6,0.005,43.0,15.0
16051,20180216,송파구,0.035,0.008,0.6,0.004,52.0,24.0
16090,20180218,송파구,0.023,0.022000000000000002,0.6,0.004,42.0,17.0
16129,20180219,송파구,0.044000000000000004,0.01,1.0,0.006,65.0,37.0
16168,20180220,송파구,0.036000000000000004,0.019,1.0,0.005,71.0,42.0
16207,20180221,송파구,0.022000000000000002,0.027000000000000003,0.6,0.005,43.0,19.0
16246,20180222,송파구,0.033,0.022000000000000002,0.7,0.005,53.0,28.0
16285,20180223,송파구,0.034,0.022000000000000002,1.0,0.005,92.0,62.0
16324,20180224,송파구,0.031,0.024,0.8,0.004,84.0,53.0
16363,20180225,송파구,0.037000000000000005,0.016,0.8,0.006,51.0,31.0
16402,20180226,송파구,0.055999999999999994,0.009000000000000001,1.1,0.006,70.0,44.0
16441,20180227,송파구,0.073,0.003,1.4,0.009000000000000001,104.0,65.0
16480,20180228,송파구,0.042,0.013000000000000001,0.9,0.005,62.0,36.0
16519,20180301,송파구,0.017,0.036000000000000004,0.6,0.004,44.0,31.0
16558,20180302,송파구,0.036000000000000004,0.02,0.8,0.005,76.0,31.0
16597,20180303,송파구,0.043,0.016,0.8,0.006,66.0,26.0
16636,20180304,송파구,0.033,0.013000000000000001,0.9,0.004,25.0,17.0
16675,20180305,송파구,0.012,0.036000000000000004,0.4,0.004,9.0,5.0
16714,20180306,송파구,0.03,0.019,0.6,0.004,35.0,17.0
16753,20180307,송파구,0.017,0.031,0.6,0.004,28.0,14.0
16792,20180308,송파구,0.021,0.027000000000000003,0.6,0.004,32.0,24.0
16831,20180309,송파구,0.034,0.018000000000000002,0.9,0.004,48.0,33.0
16870,20180310,송파구,0.036000000000000004,0.021,0.9,0.005,50.0,31.0
16909,20180311,송파구,0.026000000000000002,0.032,0.7,0.005,53.0,30.0
16948,20180312,송파구,0.051,0.019,1.1,0.006,103.0,58.0
16987,20180313,송파구,0.038,0.023,1.1,0.006999999999999999,42.0,22.0
17026,20180314,송파구,0.023,0.03,0.5,0.005,25.0,11.0
17065,20180315,송파구,0.032,0.012,0.6,0.004,26.0,17.0
17104,20180316,송파구,0.012,0.037000000000000005,0.4,0.004,14.0,6.0
17143,20180317,송파구,0.03,0.019,0.6,0.004,33.0,17.0
17182,20180318,송파구,0.05,0.011000000000000001,0.9,0.005,54.0,37.0
17221,20180319,송파구,0.02,0.033,0.6,0.003,22.0,13.0
17260,20180320,송파구,0.009000000000000001,0.044000000000000004,0.5,0.003,23.0,9.0
17299,20180409,송파구,0.031,0.02,0.5,0.004,31.0,18.0
17338,20180410,송파구,0.024,0.03,0.6,0.005,58.0,20.0
17377,20180411,송파구,0.02,0.037000000000000005,0.4,0.005,77.0,27.0
17416,20180412,송파구,0.026000000000000002,0.027999999999999997,0.5,0.005,52.0,15.0
17455,20180413,송파구,0.027000000000000003,0.027999999999999997,0.5,0.003,42.0,16.0
17494,20180414,송파구,0.015,0.035,0.5,0.004,22.0,10.0
17533,20180415,송파구,0.015,0.034,0.4,0.005,96.0,22.0
17572,20180416,송파구,0.026000000000000002,0.025,0.5,0.005,43.0,23.0
17611,20180417,송파구,0.036000000000000004,0.027000000000000003,0.6,0.005,74.0,31.0
17650,20180418,송파구,0.048,0.013999999999999999,0.7,0.005,72.0,36.0
17689,20180419,송파구,0.04,0.04,0.5,0.008,57.0,25.0
17728,20180421,송파구,0.049,0.027999999999999997,0.7,0.006,85.0,45.0
17767,20180422,송파구,0.025,0.026000000000000002,0.5,0.005,44.0,23.0
17806,20180423,송파구,0.016,0.04,0.4,0.003,10.0,7.0
17845,20180424,송파구,0.011000000000000001,0.043,0.3,0.003,10.0,4.0
17884,20180425,송파구,0.03,0.026000000000000002,0.5,0.004,41.0,28.0
17923,20180426,송파구,0.045,0.005,0.8,0.005,55.0,36.0
17962,20180427,송파구,0.039,0.057999999999999996,0.6,0.006999999999999999,63.0,44.0
18001,20180428,송파구,0.038,0.031,0.6,0.005,43.0,24.0
18040,20180430,송파구,0.040999999999999995,0.04,0.7,0.005,69.0,48.0
18079,20180501,송파구,0.024,0.038,0.5,0.004,57.0,44.0
18118,20180502,송파구,0.027999999999999997,0.017,0.6,0.003,45.0,34.0
18157,20180503,송파구,0.016,0.034,0.4,0.003,31.0,14.0
18196,20180504,송파구,0.019,0.046,0.4,0.004,50.0,20.0
18235,20180505,송파구,0.022000000000000002,0.052000000000000005,0.5,0.005,46.0,23.0
18274,20180506,송파구,0.01,0.044000000000000004,0.4,0.004,15.0,10.0
18313,20180507,송파구,0.021,0.03,0.4,0.004,33.0,17.0
18352,20180508,송파구,0.011000000000000001,0.047,0.3,0.004,21.0,9.0
18391,20180509,송파구,0.013000000000000001,0.045,0.3,0.003,24.0,11.0
18430,20180510,송파구,0.032,0.032,0.5,0.005,44.0,22.0
18469,20180511,송파구,0.03,0.043,0.5,0.004,57.0,32.0
18508,20180512,송파구,0.037000000000000005,0.019,0.6,0.004,29.0,18.0
18547,20180513,송파구,0.017,0.031,0.5,0.004,23.0,15.0
18586,20180514,송파구,0.03,0.031,0.7,0.004,61.0,40.0
18625,20180515,송파구,0.034,0.037000000000000005,0.8,0.004,74.0,43.0
18664,20180516,송파구,0.027000000000000003,0.006999999999999999,0.6,0.004,38.0,25.0
18703,20180517,송파구,0.021,0.013999999999999999,0.6,0.004,17.0,11.0
18742,20180520,송파구,0.012,0.038,0.4,0.002,14.0,7.0
18781,20180521,송파구,0.018000000000000002,0.034,0.4,0.003,15.0,7.0
18820,20180527,송파구,0.028999999999999998,0.045,0.7,0.003,77.0,34.0
18859,20180528,송파구,0.035,0.022000000000000002,0.7,0.003,56.0,29.0
18898,20180601,송파구,0.035,0.038,0.7,0.003,45.0,27.0
18937,20180602,송파구,0.040999999999999995,0.025,0.7,0.004,44.0,29.0
18976,20180604,송파구,0.034,0.033,0.6,0.004,48.0,31.0
19015,20180605,송파구,0.021,0.034,0.5,0.003,44.0,33.0
19054,20180622,송파구,0.031,0.036000000000000004,0.7,0.003,44.0,27.0
19093,20180626,송파구,0.03,0.032,0.7,0.005,60.0,43.0
19132,20180630,송파구,0.026000000000000002,0.024,0.8,0.003,45.0,27.0
19171,20180701,송파구,0.015,0.015,0.5,0.002,14.0,5.0
19210,20180702,송파구,0.022000000000000002,0.025,0.6,0.002,10.0,4.0
19249,20180703,송파구,0.019,0.003,0.6,0.002,15.0,5.0
19288,20180706,송파구,0.01,0.02,0.4,0.003,7.0,2.0
19327,20180707,송파구,0.01,0.03,0.4,0.003,7.0,3.0
19366,20180708,송파구,0.009000000000000001,0.035,0.4,0.003,11.0,5.0
19405,20180709,송파구,0.015,0.012,0.4,0.003,9.0,4.0
19444,20180710,송파구,0.018000000000000002,0.006,0.5,0.003,19.0,9.0
19483,20180711,송파구,0.017,0.008,0.6,0.003,26.0,14.0
19522,20180712,송파구,0.017,0.009000000000000001,0.6,0.004,25.0,14.0
19561,20180713,송파구,0.015,0.005,0.5,0.004,19.0,11.0
19600,20180716,송파구,0.022000000000000002,0.022000000000000002,0.5,0.004,28.0,20.0
19639,20180717,송파구,0.022000000000000002,0.015,0.5,0.004,29.0,21.0
19678,20180718,송파구,0.023,0.024,0.6,0.004,34.0,25.0
19717,20180719,송파구,0.024,0.027999999999999997,0.6,0.004,33.0,24.0
19756,20180720,송파구,0.028999999999999998,0.038,0.6,0.004,38.0,27.0
19795,20180721,송파구,0.03,0.054000000000000006,0.7,0.005,48.0,33.0
19834,20180722,송파구,0.02,0.051,0.6,0.003,32.0,22.0
19873,20180723,송파구,0.02,0.036000000000000004,0.6,0.005,29.0,20.0
19912,20180724,송파구,0.024,0.05,0.6,0.004,40.0,27.0
19951,20180725,송파구,0.015,0.034,0.6,0.005,29.0,20.0
19990,20180726,송파구,0.022000000000000002,0.026000000000000002,0.7,0.004,35.0,24.0
20029,20180727,송파구,0.025,0.036000000000000004,0.7,0.003,47.0,33.0
20068,20180728,송파구,0.027999999999999997,0.019,0.7,0.003,34.0,23.0
20107,20180729,송파구,0.01,0.026000000000000002,0.5,0.002,19.0,13.0
20146,20180730,송파구,0.01,0.027000000000000003,0.5,0.002,11.0,5.0
20185,20180731,송파구,0.012,0.040999999999999995,0.5,0.002,16.0,8.0
20224,20180801,송파구,0.021,0.044000000000000004,0.6,0.003,26.0,15.0
20263,20180802,송파구,0.018000000000000002,0.047,0.6,0.004,33.0,20.0
20302,20180803,송파구,0.022000000000000002,0.06,0.7,0.004,42.0,31.0
20341,20180804,송파구,0.015,0.036000000000000004,0.6,0.003,28.0,19.0
20380,20180805,송파구,0.01,0.027000000000000003,0.5,0.003,23.0,15.0
20419,20180806,송파구,0.018000000000000002,0.023,0.6,0.002,27.0,18.0
20458,20180807,송파구,0.015,0.034,0.6,0.003,19.0,11.0
20497,20180808,송파구,0.018000000000000002,0.023,0.6,0.003,26.0,17.0
20536,20180809,송파구,0.022000000000000002,0.015,0.6,0.003,25.0,17.0
20575,20180810,송파구,0.015,0.028999999999999998,0.6,0.002,18.0,9.0
20614,20180811,송파구,0.011000000000000001,0.034,0.5,0.003,9.0,4.0
20653,20180812,송파구,0.01,0.034,0.5,0.003,14.0,10.0
20692,20180813,송파구,0.016,0.03,0.6,0.003,33.0,22.0
20731,20180814,송파구,0.018000000000000002,0.032,0.6,0.003,29.0,20.0
20770,20180815,송파구,0.015,0.036000000000000004,0.5,0.003,29.0,19.0
20809,20180816,송파구,0.01,0.026000000000000002,0.4,0.002,16.0,8.0
20848,20180817,송파구,0.009000000000000001,0.034,0.4,0.002,12.0,4.0
20887,20180818,송파구,0.01,0.040999999999999995,0.4,0.003,14.0,5.0
20926,20180819,송파구,0.016,0.047,0.5,0.003,22.0,12.0
20965,20180820,송파구,0.019,0.048,0.6,0.003,33.0,20.0
21004,20180821,송파구,0.013999999999999999,0.036000000000000004,0.6,0.003,24.0,14.0
21043,20180822,송파구,0.015,0.033,0.5,0.002,24.0,14.0
21082,20180823,송파구,0.012,0.016,0.5,0.002,15.0,7.0
21121,20180824,송파구,0.013000000000000001,0.016,0.5,0.003,8.0,3.0
21160,20180825,송파구,0.012,0.040999999999999995,0.6,0.003,24.0,13.0
21199,20180826,송파구,0.012,0.032,0.5,0.003,16.0,10.0
21238,20180827,송파구,0.016,0.021,0.5,0.002,9.0,4.0
21277,20180828,송파구,0.016,0.006999999999999999,0.5,0.003,10.0,4.0
21316,20180829,송파구,0.017,0.006999999999999999,0.5,0.003,14.0,6.0
21355,20180830,송파구,0.016,0.024,0.7,0.003,26.0,17.0
21394,20180831,송파구,0.02,0.03,0.6,0.003,24.0,14.0
21433,20180901,송파구,0.013999999999999999,0.026000000000000002,0.5,0.003,17.0,9.0
21472,20180902,송파구,0.01,0.037000000000000005,0.5,0.002,12.0,5.0
21511,20180903,송파구,0.016,0.021,0.5,0.003,14.0,7.0
21550,20180904,송파구,0.015,0.027999999999999997,0.6,0.003,15.0,6.0
21589,20180905,송파구,0.018000000000000002,0.036000000000000004,0.5,0.003,25.0,10.0
21628,20180906,송파구,0.022000000000000002,0.037000000000000005,0.7,0.003,29.0,17.0
21667,20180907,송파구,0.016,0.042,0.5,0.003,24.0,12.0
21706,20180908,송파구,0.018000000000000002,0.025,0.6,0.003,22.0,9.0
21745,20180909,송파구,0.017,0.026000000000000002,0.6,0.003,20.0,10.0
21784,20180910,송파구,0.011000000000000001,0.033,0.4,0.003,12.0,4.0
21823,20180911,송파구,0.012,0.031,0.4,0.002,12.0,5.0
21862,20180912,송파구,0.015,0.036000000000000004,0.5,0.002,15.0,6.0
21901,20180913,송파구,0.018000000000000002,0.021,0.5,0.003,17.0,7.0
21940,20180914,송파구,0.021,0.013000000000000001,0.5,0.003,19.0,9.0
21979,20180915,송파구,0.016,0.018000000000000002,0.5,0.003,10.0,5.0
22018,20180916,송파구,0.019,0.019,0.7,0.003,31.0,21.0
22057,20180917,송파구,0.018000000000000002,0.033,0.6,0.003,26.0,15.0
22096,20180918,송파구,0.03,0.021,0.7,0.003,35.0,17.0
22135,20180919,송파구,0.032,0.016,0.7,0.004,43.0,20.0
22174,20180920,송파구,0.017,0.027999999999999997,0.5,0.003,14.0,8.0
22213,20180921,송파구,0.016,0.024,0.5,0.002,8.0,3.0
22252,20180922,송파구,0.022000000000000002,0.027000000000000003,0.6,0.003,28.0,10.0
22291,20180923,송파구,0.019,0.028999999999999998,0.5,0.004,29.0,10.0
22330,20180924,송파구,0.012,0.028999999999999998,0.5,0.002,14.0,6.0
22369,20180925,송파구,0.015,0.021,0.5,0.003,15.0,7.0
22408,20180926,송파구,0.01,0.031,0.4,0.002,10.0,5.0
22447,20180927,송파구,0.012,0.032,0.5,0.003,9.0,4.0
22486,20180928,송파구,0.019,0.021,0.4,0.003,14.0,6.0
22525,20180929,송파구,0.019,0.02,0.5,0.003,15.0,7.0
22564,20180930,송파구,0.019,0.023,0.5,0.003,24.0,10.0
22603,20181001,송파구,0.012,0.031,0.4,0.003,20.0,8.0
22642,20181002,송파구,0.022000000000000002,0.024,0.6,0.003,26.0,13.0
22681,20181003,송파구,0.027000000000000003,0.021,0.6,0.003,27.0,14.0
22720,20181004,송파구,0.022000000000000002,0.022000000000000002,0.6,0.003,21.0,11.0
22759,20181005,송파구,0.016,0.031,0.5,0.003,10.0,5.0
22798,20181006,송파구,0.01,0.038,0.4,0.003,5.0,3.0
22837,20181007,송파구,0.016,0.023,0.5,0.003,27.0,11.0
22876,20181008,송파구,0.024,0.017,0.5,0.003,23.0,7.0
22915,20181009,송파구,0.026000000000000002,0.01,0.6,0.003,27.0,11.0
22954,20181010,송파구,0.013999999999999999,0.025,0.5,0.003,19.0,10.0
22993,20181011,송파구,0.016,0.018000000000000002,0.5,0.002,18.0,8.0
23032,20181012,송파구,0.027999999999999997,0.01,0.6,0.003,24.0,11.0
23071,20181013,송파구,0.03,0.012,0.6,0.003,27.0,14.0
23110,20181014,송파구,0.024,0.025,0.6,0.004,26.0,15.0
23149,20181015,송파구,0.031,0.022000000000000002,0.8,0.004,50.0,27.0
23188,20181016,송파구,0.032,0.015,0.8,0.003,49.0,23.0
23227,20181017,송파구,0.03,0.015,0.7,0.003,36.0,17.0
23266,20181018,송파구,0.022000000000000002,0.015,0.5,0.004,18.0,8.0
23305,20181019,송파구,0.022000000000000002,0.018000000000000002,0.5,0.003,18.0,8.0
23344,20181020,송파구,0.034,0.012,0.8,0.004,38.0,17.0
23383,20181021,송파구,0.03,0.019,0.7,0.003,38.0,19.0
23422,20181022,송파구,0.04,0.013000000000000001,0.8,0.004,47.0,23.0
23461,20181023,송파구,0.039,0.011000000000000001,0.8,0.003,41.0,21.0
23500,20181024,송파구,0.027999999999999997,0.013999999999999999,0.7,0.003,40.0,15.0
23539,20181025,송파구,0.033,0.015,0.9,0.004,45.0,17.0
23578,20181026,송파구,0.033,0.011000000000000001,0.7,0.003,34.0,17.0
23617,20181027,송파구,0.012,0.025,0.5,0.003,27.0,6.0
23656,20181028,송파구,0.025,0.013999999999999999,0.6,0.002,15.0,8.0
23695,20181029,송파구,0.024,0.003,0.6,0.003,15.0,7.0
23734,20181030,송파구,0.0,0.0,0.0,0.0,0.0,0.0
23773,20181031,송파구,0.0,0.0,0.0,0.0,0.0,0.0
23812,20181101,송파구,0.0,0.0,0.0,0.0,0.0,0.0
23856,20181102,송파구,0.0,0.0,0.0,0.0,0.0,0.0
23901,20181103,송파구,0.0,0.0,0.0,0.0,0.0,0.0
23946,20181104,송파구,0.0,0.0,0.0,0.0,0.0,0.0
23991,20181105,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24036,20181106,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24081,20181107,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24126,20181108,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24171,20181109,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24216,20181110,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24261,20181111,송파구,0.0,0.0,0.0,0.0,0.0,0.0
24306,20181112,송파구,0.034,0.021,0.4,0.003,0.0,0.0
24351,20181113,송파구,0.048,0.008,0.7,0.004,50.0,25.0
24396,20181114,송파구,0.049,0.009000000000000001,0.7,0.004,51.0,24.0
24441,20181115,송파구,0.055,0.006,0.7,0.004,71.0,37.0
24486,20181116,송파구,0.057,0.004,0.9,0.005,91.0,51.0
24531,20181119,송파구,0.047,0.005,0.9,0.005,68.0,38.0
24576,20181120,송파구,0.046,0.01,0.6,0.005,58.0,22.0
24621,20181121,송파구,0.044000000000000004,0.009000000000000001,0.5,0.004,40.0,19.0
24666,20181122,송파구,0.028999999999999998,0.018000000000000002,0.4,0.003,28.0,9.0
24711,20181123,송파구,0.038,0.012,0.5,0.003,30.0,13.0
24756,20181124,송파구,0.038,0.009000000000000001,0.4,0.003,25.0,16.0
24801,20181125,송파구,0.042,0.005,0.7,0.003,54.0,40.0
24846,20181126,송파구,0.043,0.005,0.8,0.005,61.0,45.0
24892,20181127,송파구,0.048,0.003,1.0,0.005,185.0,59.0
24938,20181128,송파구,0.036000000000000004,0.012,0.5,0.004,151.0,33.0
24984,20181129,송파구,0.047,0.002,0.7,0.004,100.0,31.0
25030,20181130,송파구,0.05,0.005,0.7,0.004,89.0,35.0
25076,20181201,송파구,0.052000000000000005,0.006,0.7,0.004,61.0,28.0
25122,20181202,송파구,0.046,0.004,0.8,0.003,66.0,36.0
25168,20181203,송파구,0.051,0.003,0.8,0.003,49.0,32.0
25214,20181204,송파구,0.034,0.005,0.7,0.002,36.0,25.0
25260,20181205,송파구,0.028999999999999998,0.011000000000000001,0.4,0.003,33.0,14.0
25306,20181206,송파구,0.037000000000000005,0.006999999999999999,0.5,0.003,43.0,19.0
